Party Name,Voucher Date,Item Name,Quantity,Amount,Cost,Closing Balance
Apex Logistics Ltd,2025-01-01,Custom System Integration,2,500000,320000.0,350000.0
Apex Logistics Ltd,2025-01-01,Enterprise Consulting Package,1,150000,90000.0,350000.0
Horizon Enterprises,2025-01-01,Enterprise Consulting Package,1,150000,90000.0,0.0
Apex Logistics Ltd,2025-01-02,Software License Subscription,1,35000,15000.0,350000.0
Vanguard Solutions,2025-01-05,Software License Subscription,4,140000,60000.0,1250000.0
Horizon Enterprises,2025-01-06,Enterprise Consulting Package,2,300000,180000.0,0.0
Vanguard Solutions,2025-01-06,Custom System Integration,3,750000,480000.0,1250000.0
Summit Global Services,2025-01-07,Custom System Integration,1,250000,160000.0,0.0
Apex Logistics Ltd,2025-01-08,Custom System Integration,3,750000,480000.0,350000.0
Zenith Tech Systems,2025-01-08,Cloud Infrastructure Managed Services,1,80000,45000.0,850000.0
Metro Retail Pvt Ltd,2025-01-10,Software License Subscription,3,105000,45000.0,0.0
Vanguard Solutions,2025-01-13,Enterprise Consulting Package,2,300000,180000.0,1250000.0
Zenith Tech Systems,2025-01-15,Enterprise Consulting Package,4,600000,360000.0,850000.0
Horizon Enterprises,2025-01-17,Custom System Integration,2,500000,320000.0,0.0
Apex Logistics Ltd,2025-01-17,Annual Maintenance & Support,3,150000,75000.0,350000.0
Horizon Enterprises,2025-01-20,Software License Subscription,2,70000,30000.0,0.0
Metro Retail Pvt Ltd,2025-01-20,Annual Maintenance & Support,2,100000,50000.0,0.0
Metro Retail Pvt Ltd,2025-01-20,Custom System Integration,2,500000,320000.0,0.0
Zenith Tech Systems,2025-01-23,Enterprise Consulting Package,2,300000,180000.0,850000.0
Zenith Tech Systems,2025-01-23,Custom System Integration,4,1000000,640000.0,850000.0
Apex Logistics Ltd,2025-01-25,Software License Subscription,3,105000,45000.0,350000.0
Metro Retail Pvt Ltd,2025-01-26,Cloud Infrastructure Managed Services,2,160000,90000.0,0.0
Apex Logistics Ltd,2025-01-26,Annual Maintenance & Support,3,150000,75000.0,350000.0
Vanguard Solutions,2025-01-26,Cloud Infrastructure Managed Services,4,320000,180000.0,1250000.0
Beacon Industries,2025-01-28,Annual Maintenance & Support,4,200000,100000.0,0.0
Zenith Tech Systems,2025-01-29,Annual Maintenance & Support,2,100000,50000.0,850000.0
Horizon Enterprises,2025-02-01,Cloud Infrastructure Managed Services,4,320000,180000.0,0.0
Horizon Enterprises,2025-02-01,Cloud Infrastructure Managed Services,3,240000,135000.0,0.0
Horizon Enterprises,2025-02-04,Enterprise Consulting Package,3,450000,270000.0,0.0
